run,measuredAtJst,conditionLabel,downloadMbps,uploadMbps,pingMs,jitterMs,downloadLoadedLatencyMs,uploadLoadedLatencyMs,downloadEffectiveIncreaseMs,uploadEffectiveIncreaseMs
1,2026-09-17T10:11:33+09:00,実測01_リビング6GHz,436.2,39.6,48.9,11.7,56.4,65.2,7.5,16.3
2,2026-09-17T10:12:23+09:00,実測01_リビング6GHz,541.0,45.8,51.5,15.3,62.5,59.0,11.0,7.5
3,2026-09-17T10:13:10+09:00,実測01_リビング6GHz,458.9,34.2,52.6,6.5,109.5,61.9,56.9,9.3
4,2026-09-17T10:15:19+09:00,実測01_リビング6GHz,543.7,56.4,52.7,9.9,102.0,120.8,49.3,68.1
5,2026-09-17T10:19:44+09:00,実測01_リビング6GHz,567.2,46.8,51.7,17.2,65.6,63.0,13.9,11.3
6,2026-09-17T10:20:23+09:00,実測01_リビング6GHz,587.6,31.4,55.4,16.6,62.5,60.7,7.1,5.3
7,2026-09-17T10:21:03+09:00,実測01_リビング6GHz,571.8,37.1,52.0,18.5,62.8,61.2,10.8,9.2
8,2026-09-17T10:21:37+09:00,実測01_リビング6GHz,552.9,55.0,53.8,6.2,100.1,79.1,46.3,25.3
9,2026-09-17T10:22:22+09:00,実測01_リビング6GHz,497.0,48.1,58.1,16.6,64.3,71.9,6.2,13.8
10,2026-09-17T10:23:11+09:00,実測01_リビング6GHz,505.0,44.5,52.4,6.4,141.6,62.4,89.2,10.0
11,2026-09-17T10:24:53+09:00,実測01_リビング6GHz,509.4,31.6,59.2,9.5,53.5,62.4,0.0,3.2
12,2026-09-17T10:25:37+09:00,実測01_リビング6GHz,612.3,41.3,52.7,15.1,56.8,63.5,4.1,10.8
13,2026-09-17T10:26:41+09:00,実測01_リビング6GHz,500.7,32.8,55.0,12.2,65.2,66.1,10.2,11.1
14,2026-09-17T10:27:34+09:00,実測01_リビング6GHz,568.2,36.0,62.1,14.9,62.6,63.4,0.5,1.3
